h,explicit_euler,implicit_euler,trapezoid
1.56250000000000000e-02,2.55880649251800651e-02,2.26235074933491820e-02,8.02405549076068425e-04
7.81250000000000000e-03,1.23649298498824667e-02,1.16304659467143523e-02,1.99621944354078096e-04
3.90625000000000000e-03,6.08366199549470466e-03,5.90045494441926444e-03,4.98762666454322101e-05
1.95312500000000000e-03,3.01807191564185118e-03,2.97229558404099592e-03,1.24799252441132325e-05
9.76562500000000000e-04,1.50328916903696985e-03,1.49181594847469512e-03,3.11975018441046359e-06
4.88281250000000000e-04,7.50199626763148331e-04,7.47335079582134298e-04,7.79923102101065524e-07
2.44140625000000000e-04,3.74741865644567795e-04,3.74025266254740529e-04,1.94983986068208992e-07
1.22070312500000000e-04,1.87281151266649459e-04,1.87102001806271900e-04,4.87459430598136123e-08
6.10351562500000000e-05,9.36181786528322846e-05,9.35733985010234193e-05,1.21864867086429740e-08
3.05175781250000000e-05,4.68034885816592805e-05,4.67922935454279099e-05,3.04662606254169077e-09
1.52587890625000000e-05,2.34003448433828254e-05,2.33975459802415742e-05,7.61670726490137895e-10
7.62939453125000000e-06,1.16998225216935481e-05,1.16991228173990436e-05,1.90411020284386723e-10
3.81469726562500000e-06,5.84982379825405019e-06,5.84964887040406722e-06,4.76032546714577620e-11
1.90734863281250000e-06,2.92489002085005723e-06,2.92484630426415038e-06,1.19197984815855307e-11
9.53674316406250000e-07,1.46243955079228272e-06,1.46242861798207002e-06,2.98605584703182103e-12
