method,n_intervals,h,dt,lambda_actual,n_time_steps,runtime_seconds,max_abs_error_at_t_max
explicit_ftcs,16,0.0625,0.0015625,0.4,320,0.000470892,0.00335538
crank_nicolson_thomas,16,0.0625,0.00390625,1,128,0.000198531,0.0030851
crank_nicolson_jacobi,16,0.0625,0.00390625,1,128,0.00361267,0.0030851
explicit_ftcs,32,0.03125,0.000390625,0.4,1280,0.003186,0.000837703
crank_nicolson_thomas,32,0.03125,0.000976562,1,512,0.0013587,0.000769498
crank_nicolson_jacobi,32,0.03125,0.000976562,1,512,0.0266862,0.000769498
explicit_ftcs,64,0.015625,9.76563e-05,0.4,5120,0.0234254,0.000209354
crank_nicolson_thomas,64,0.015625,0.000244141,1,2048,0.0111581,0.000192264
crank_nicolson_jacobi,64,0.015625,0.000244141,1,2048,0.19477,0.000192264
explicit_ftcs,128,0.0078125,2.44141e-05,0.4,20480,0.182716,5.23341e-05
crank_nicolson_thomas,128,0.0078125,6.10352e-05,1,8192,0.0794272,4.80591e-05
crank_nicolson_jacobi,128,0.0078125,6.10352e-05,1,8192,1.43314,4.80591e-05
explicit_ftcs,256,0.00390625,6.10352e-06,0.4,81920,1.3737,1.30832e-05
crank_nicolson_thomas,256,0.00390625,1.52588e-05,1,32768,0.627837,1.20143e-05
crank_nicolson_jacobi,256,0.00390625,1.52588e-05,1,32768,10.4359,1.20143e-05
explicit_ftcs,512,0.00195312,1.52588e-06,0.4,327680,10.6106,3.27079e-06
crank_nicolson_thomas,512,0.00195312,3.8147e-06,1,131072,4.84073,3.00356e-06
crank_nicolson_jacobi,512,0.00195312,3.8147e-06,1,131072,77.19,3.00337e-06
